Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Lateral File Cabinet,80008,GENERAL SERVICES,1/9/2014,81,$1.86 ,0.23,$18.63 ,$18.63 ,Successful,1/9/2014,,70585,,,3603585660,"$3,000 ",$0.00 ,$62.37 ,General Fund,0
"3 Sony 18"" Flat Screen Monitors",80009,MDHA,1/9/2014,25,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,1/15/2014,,"MDHA-60345, MDHA-60346, MDHA-60347",,,3604084422,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
9 Monitor Stands,80010,ECD COMMUNICATIONS,1/9/2014,17,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,1/9/2014,,"ECD-61275, ECD-61276, ECD-61277, ECD-61278, ECD-61279, ECD-61280, ECD-61281, ECD-61282, ECD-61283",,,3603602823,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
"15 Dell 17"" Flat Screen Monitors",80011,ECD COMMUNICATIONS,1/9/2014,148.5,$3.42 ,0.23,$34.15 ,$34.15 ,Successful,1/9/2014,,"ECD-61258, ECD-61259, ECD-61260, ECD-61261, ECD-61262, ECD-61263, ECD-61264, ECD-61265, ECD-61266, ECD-61267, ECD-61268, ECD-61269, ECD-61270, ECD-61271, ECD-61272",,,3603602837,"$3,000 ",$0.00 ,$114.34 ,Enterprise,0
11 Dell Computers,80012,ITS,1/9/2014,371.51,$0.00 ,0.23,$85.44 ,$85.44 ,Successful,1/9/2014,,"75241, 75240, 75238, 75243, 75182, 75183, 75181, 75184, 75242, 75236, 75185",,,Cashiers Check,"$3,000 ",$0.00 ,$286.06 ,General Fund,0
Dell Laptop,80014,ITS,1/9/2014,76.51,$1.76 ,0.23,$17.59 ,$17.59 ,Successful,1/9/2014,,74550,,,3603602849,"$3,000 ",$0.00 ,$58.91 ,General Fund,0
Dell Laptop,80015,ITS,1/9/2014,27,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,1/9/2014,,74553,,,3603602863,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
Dell Laptop,80017,ITS,1/9/2014,52,$1.20 ,0.23,$11.96 ,$11.96 ,Successful,1/13/2014,,74555,,,3603934086,"$3,000 ",$0.00 ,$40.04 ,General Fund,0
Dell Laptop,80018,ITS,1/9/2014,57,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,1/9/2014,,74570,,,3603592960,"$3,000 ",$0.00 ,$43.89 ,General Fund,0
4 Chairs,80019,NASHVILLE CONVENTION CTR,1/14/2014,6,$0.00 ,0.23,$1.38 ,$1.38 ,Successful,1/15/2014,,"NCC-75667, NCC-75668, NCC-75669, NCC075670",,,Cashiers Check,"$3,000 ",$0.00 ,$4.62 ,Enterprise,0
Bar Stool,80021,NASHVILLE CONVENTION CTR,1/14/2014,21,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,1/30/2014,,NCC-75776,,,3605145144,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
Table,80022,NASHVILLE CONVENTION CTR,1/14/2014,27,$0.00 ,0.23,$6.21 ,$6.21 ,Successful,1/14/2014,,NCC-75754,,,Money Order,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Table,80023,NASHVILLE CONVENTION CTR,1/14/2014,13.2,$0.30 ,0.23,$3.03 ,$3.03 ,Successful,1/15/2014,,NCC-75753,,,3604077546,"$3,000 ",$0.00 ,$10.16 ,Enterprise,0
Table,80024,WATER SERVICES,1/14/2014,2,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/15/2014,,WS-73909,,,3604077700,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
Table,80025,WATER SERVICES,1/14/2014,1,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,1/14/2014,,WS-73904,,,3603986284,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
Table,80026,WATER SERVICES,1/14/2014,2,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/28/2014,,WS-73907,,,3605003135,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
Table,80027,WATER SERVICES,1/7/2014,2,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/7/2014,,WS-73908,,,3603421222,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
Table,80028,WATER SERVICES,1/14/2014,2,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/28/2014,,WS-73906,,,3605003474,"$3,000 ",$0.00 ,$1.54 ,Enterprise,0
2 Chairs,80029,WATER SERVICES,1/14/2014,7,$0.00 ,0.23,$1.61 ,$1.61 ,Successful,1/21/2014,,"WS-74864, WS-74863",,,Money Order,"$3,000 ",$0.00 ,$5.39 ,Enterprise,0
"Dell 17"" Flat Screen Monitor",80030,WATER SERVICES,1/14/2014,23.5,$0.54 ,0.23,$5.40 ,$5.40 ,Successful,1/16/2014,,WS-62259,,,3604183839,"$3,000 ",$0.00 ,$18.09 ,Enterprise,0
Table,80031,METRO ACTION,1/14/2014,1,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,1/14/2014,,MAC-73083,,,3603986292,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
Book Rack,80032,PUBLIC LIBRARY,1/14/2014,47,$1.08 ,0.23,$10.81 ,$10.81 ,Successful,1/14/2014,,75561,,,3603994589,"$3,000 ",$0.00 ,$36.19 ,General Fund,0
Book Rack,80033,PUBLIC LIBRARY,1/14/2014,27,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,1/20/2014,,75560,,,3604402879,"$3,000 ",$0.00 ,$20.79 ,General Fund,0
Dell 2330dn Laser Printer,80035,ITS,1/14/2014,13.5,$0.31 ,0.23,$3.10 ,$3.10 ,Successful,1/16/2014,,75962,,,3604199260,"$3,000 ",$0.00 ,$10.39 ,General Fund,0
Dell 1250c Printer,80036,ITS,1/14/2014,7.9,$0.18 ,0.23,$1.81 ,$1.81 ,Successful,1/20/2014,,75963,,,3604402887,"$3,000 ",$0.00 ,$6.08 ,General Fund,0
63 Assorted Dell Computers,80037,ITS,1/14/2014,1250,$28.75 ,0.23,$287.50 ,$287.50 ,Successful,1/14/2014,,"75909, 75937, 75956, 75942, 75957, 75917, 75927, 75941, 75914, 75940, 75925, 75958, 75946, 75904, 75913, 75935, 75947, 75916, 75897, 75905, 75948, 75934, 75912, 75921, 75953, 75949, 75951, 75901, 75931, 75939, 75911, 75923, 75899, 75952, 75932, 75922, 759",,,3603996536,"$3,000 ",$0.00 ,$962.50 ,General Fund,0
15 Dell Laptops,80038,ITS,1/14/2014,620,$14.26 ,0.23,$142.60 ,$142.60 ,Successful,1/14/2014,,"73570, 73571, 73572, 73573, 73574, 73575, 73576, 73677, 73578, 73579, 73580, 73581, 73582, 73583, 73584",,,3604027642,"$3,000 ",$0.00 ,$477.40 ,General Fund,0
Dell Laptop,80039,ITS,1/14/2014,47.51,$1.09 ,0.23,$10.92 ,$10.92 ,Successful,1/16/2014,,73585,,,3604199281,"$3,000 ",$0.00 ,$36.58 ,General Fund,0
Dell Laptop,80040,ITS,1/14/2014,51.51,$1.18 ,0.23,$11.84 ,$11.84 ,Successful,1/20/2014,,73588,,,3604415567,"$3,000 ",$0.00 ,$39.66 ,General Fund,0
Dell Laptop,80041,ITS,1/14/2014,53.51,$1.23 ,0.23,$12.30 ,$12.30 ,Successful,1/16/2014,,73589,,,3604199292,"$3,000 ",$0.00 ,$41.20 ,General Fund,0
Dell Laptop,80042,ITS,1/14/2014,33.51,$0.77 ,0.23,$7.70 ,$7.70 ,Successful,1/20/2014,,73587,,,3604415580,"$3,000 ",$0.00 ,$25.80 ,General Fund,0
Dell Laptop,80043,ITS,1/14/2014,53.51,$1.23 ,0.23,$12.30 ,$12.30 ,Successful,1/14/2014,,73586,,,3604003385,"$3,000 ",$0.00 ,$41.20 ,General Fund,0
View Sonic Laptop,80044,ITS,1/14/2014,21,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,1/15/2014,,72977,,,3604067145,"$3,000 ",$0.00 ,$16.17 ,General Fund,0
3 Wooden Bookshelves,80048,SCHOOL BOARD WAREHOUSE,1/14/2014,150,$3.45 ,0.23,$34.50 ,$34.50 ,Successful,1/20/2014,,SBS-6143A,,,3604443964,"$3,000 ",$0.00 ,$115.50 ,Enterprise,0
3 TV's & Carts,80049,SCHOOL BOARD WAREHOUSE,1/14/2014,57,$1.31 ,0.23,$13.11 ,$13.11 ,Successful,1/14/2014,,SBS-5999,,,3604002153,"$3,000 ",$0.00 ,$43.89 ,Enterprise,0
3 Upright Pianos,80050,SCHOOL BOARD WAREHOUSE,1/14/2014,103,$2.37 ,0.23,$23.69 ,$23.69 ,Successful,1/17/2014,,SBS-6097,,,3604287967,"$3,000 ",$0.00 ,$79.31 ,Enterprise,0
2000 Pontiac Bonneville,80051,POLICE STATE DRUG FUND,1/9/2014,740.01,$0.00 ,0.23,$170.20 ,$170.20 ,Successful,1/9/2014,,,,967863,Cashiers Check,"$3,000 ",$135.00 ,$434.80 ,Enterprise,0
2003 Ford Escape,80052,POLICE STATE DRUG FUND,1/9/2014,1325,$0.00 ,0.23,$304.75 ,$304.75 ,Successful,1/9/2014,,,,1065994,Cashiers Check,"$3,000 ",$125.00 ,$895.25 ,Enterprise,0
2000 Nissan Sentra,80054,POLICE STATE DRUG FUND,1/9/2014,1010,$0.00 ,0.23,$232.30 ,$232.30 ,Successful,1/13/2014,,,,1053885,Cashiers Check,"$3,000 ",$145.00 ,$632.70 ,Enterprise,0
2001 Hyundai Elantra,80055,POLICE STATE DRUG FUND,1/9/2014,1151.35,$0.00 ,0.23,$264.81 ,$264.81 ,Successful,1/9/2014,,,,1053887,Cashiers Check,"$3,000 ",$135.00 ,$751.53 ,Enterprise,0
1997 Infiniti J30,80056,POLICE STATE DRUG FUND,1/9/2014,1800.01,$0.00 ,0.23,$414.00 ,$414.00 ,Successful,1/9/2014,,,,103726,Cashiers Check,"$3,000 ",$135.00 ,"$1,251.00 ",Enterprise,0
2001 Lincoln Towncar,80057,POLICE STATE DRUG FUND,1/9/2014,1125,$0.00 ,0.23,$258.75 ,$258.75 ,Successful,1/9/2014,,,,1035730,Money Order,"$3,000 ",$135.00 ,$731.25 ,Enterprise,0
2001 Ford Excursion,80058,POLICE STATE DRUG FUND,1/9/2014,3530,$0.00 ,0.23,$811.90 ,$811.90 ,Successful,1/9/2014,,,,1072331,Cashiers Check,"$3,000 ",$220.00 ,"$2,498.10 ",Enterprise,0
1997 Ford Taurus,80059,POLICE STATE DRUG FUND,1/9/2014,816.25,$0.00 ,0.23,$187.73 ,$187.73 ,Successful,1/9/2014,,,,103501,Cashiers Check,"$3,000 ",$145.00 ,$483.51 ,Enterprise,0
1997 Mercury Mountaineer,80061,POLICE STATE DRUG FUND,1/9/2014,915,$0.00 ,0.23,$210.45 ,$210.45 ,Successful,1/13/2014,,,,103504,Cashiers Check,"$3,000 ",$135.00 ,$569.55 ,Enterprise,0
2007 Dodge Charger,80062,POLICE STATE DRUG FUND,1/9/2014,5649.77,$0.00 ,0.23,"$1,299.44 ","$1,299.44 ",Successful,1/27/2014,,,,1036546,Cashiers Check,"$3,000 ",$145.00 ,"$4,205.32 ",Enterprise,0
Eyeglasses,80063,DRUG TASK FORCE,1/13/2014,17,$0.39 ,0.23,$3.91 ,$3.91 ,Successful,1/13/2014,,TF-311-033A,,,3603858728,"$3,000 ",$0.00 ,$13.09 ,Enterprise,0
Sunglasses,80064,DRUG TASK FORCE,1/13/2014,78,$1.79 ,0.23,$17.94 ,$17.94 ,Successful,1/13/2014,,TF-311-033B,,,3603873593,"$3,000 ",$0.00 ,$60.06 ,Enterprise,0
Sunglasses,80065,DRUG TASK FORCE,1/13/2014,67,$1.54 ,0.23,$15.41 ,$15.41 ,Successful,1/15/2014,,TF-311-033C,,,3604051724,"$3,000 ",$0.00 ,$51.59 ,Enterprise,0
Sunglasses,80067,DRUG TASK FORCE,1/13/2014,98,$0.00 ,0.23,$22.54 ,$22.54 ,Successful,1/27/2014,,TF-311-033E,,,Cashiers Check,"$3,000 ",$0.00 ,$75.46 ,Enterprise,0
Sunglasses,80069,DRUG TASK FORCE,1/13/2014,16,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,1/13/2014,,TF-311-033G,,,3603886939,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
Sunglasses w/ Case,80072,DRUG TASK FORCE,1/14/2014,93,$0.00 ,0.23,$21.39 ,$21.39 ,Successful,1/27/2014,,TF-311-033J,,,Cashiers Check,"$3,000 ",$0.00 ,$71.61 ,Enterprise,0
Sunglasses w/ Case,80073,DRUG TASK FORCE,1/14/2014,28,$0.64 ,0.23,$6.44 ,$6.44 ,Successful,1/14/2014,,TF-311-033K,,,3603991153,"$3,000 ",$0.00 ,$21.56 ,Enterprise,0
Sunglasses w/ Case,80074,DRUG TASK FORCE,1/14/2014,86,$0.00 ,0.23,$19.78 ,$19.78 ,Successful,1/27/2014,,TF-311-033L,,,Cashiers Check,"$3,000 ",$0.00 ,$66.22 ,Enterprise,0
Sunglasses w/ Case,80075,DRUG TASK FORCE,1/14/2014,175,$0.00 ,0.23,$40.25 ,$40.25 ,Successful,1/27/2014,,TF-311-033M,,,Cashiers Check,"$3,000 ",$0.00 ,$134.75 ,Enterprise,0
Sunglasses w/ Case,80076,DRUG TASK FORCE,1/14/2014,88,$0.00 ,0.23,$20.24 ,$20.24 ,Successful,1/27/2014,,TF-311-033N,,,Cashiers Check,"$3,000 ",$0.00 ,$67.76 ,Enterprise,0
1 Pallet of Poster Board,80077,SCHOOL BOARD WAREHOUSE,1/15/2014,105.52,$2.43 ,0.23,$24.26 ,$24.26 ,Successful,1/22/2014,,SBS-5643H,,,3604545608,"$3,000 ",$0.00 ,$81.25 ,Enterprise,0
Nike Air Force One Tennis Shoes. Size: 9-1/2,80078,POLICE STATE DRUG FUND,1/15/2014,33,$0.00 ,0.23,$7.59 ,$7.59 ,Successful,1/16/2014,,PSDF-24-002HHH,,,Money Order,"$3,000 ",$0.00 ,$25.41 ,Enterprise,0
"""Nike"" Air Max 90 - Size 10",80079,DRUG TASK FORCE,1/15/2014,59.01,$1.36 ,0.23,$13.57 ,$13.57 ,Successful,1/16/2014,,TF-306-043Z,,,3604199063,"$3,000 ",$0.00 ,$45.43 ,Enterprise,0
16 Simple Mobile Sim Cards,80080,POLICE STATE FELONY FORFEITURE,1/15/2014,1,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,1/22/2014,,PSFF-34-051,,,3604586926,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
4 Chairs,80082,WATER SERVICES,1/15/2014,16,$0.37 ,0.23,$3.68 ,$3.68 ,Successful,1/16/2014,,"WS-73910, WS-73911, WS-73912, WS-73913",,,3604179042,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
Cube Cell Phone Chargers,80083,POLICE STATE FELONY FORFEITURE,1/16/2014,21,$0.48 ,0.23,$4.83 ,$4.83 ,Successful,1/28/2014,,PSFF-34-003,,,3604998409,"$3,000 ",$0.00 ,$16.17 ,Enterprise,0
Cell Phone Pouches,80084,POLICE STATE FELONY FORFEITURE,1/16/2014,25,$0.58 ,0.23,$5.75 ,$5.75 ,Successful,1/28/2014,,PSFF-34-034,,,3604998439,"$3,000 ",$0.00 ,$19.25 ,Enterprise,0
T-Mobile My Touch Snap On Covers,80086,POLICE STATE FELONY FORFEITURE,1/16/2014,1,$0.02 ,0.23,$0.23 ,$0.23 ,Successful,1/21/2014,,PSFF-34-019,,,3604480392,"$3,000 ",$0.00 ,$0.77 ,Enterprise,0
4 Cib Security Cameras,80087,POLICE STATE FELONY FORFEITURE,1/16/2014,82.01,$1.89 ,0.23,$18.86 ,$18.86 ,Successful,1/26/2014,,PSFF-34-008,,,3604845229,"$3,000 ",$0.00 ,$63.14 ,Enterprise,0
USB to Dock Connectors for iPhone,80089,POLICE STATE FELONY FORFEITURE,1/16/2014,83,$1.91 ,0.23,$19.09 ,$19.09 ,Successful,1/28/2014,,PSFF-34-011,,,3604998461,"$3,000 ",$0.00 ,$63.91 ,Enterprise,0
HP Desk Jet F4280,80090,POLICE STATE FELONY FORFEITURE,1/16/2014,15,$0.34 ,0.23,$3.45 ,$3.45 ,Successful,1/23/2014,,PSFF-34-059,,,3604655017,"$3,000 ",$0.00 ,$11.55 ,Enterprise,0
Duraband Mobile Phone Car Chargers,80091,POLICE STATE FELONY FORFEITURE,1/16/2014,27,$0.62 ,0.23,$6.21 ,$6.21 ,Successful,1/28/2014,,PSFF-34-022,,,3604998478,"$3,000 ",$0.00 ,$20.79 ,Enterprise,0
Verifone Credit Card Machine,80092,POLICE STATE FELONY FORFEITURE,1/16/2014,80,$1.84 ,0.23,$18.40 ,$18.40 ,Successful,1/16/2014,,PSFF-34-086,,,3604195242,"$3,000 ",$0.00 ,$61.60 ,Enterprise,0
First Data Credit Card Machine,80093,POLICE STATE FELONY FORFEITURE,1/16/2014,29,$0.67 ,0.23,$6.67 ,$6.67 ,Successful,1/16/2014,,PSFF-34-087,,,3604227869,"$3,000 ",$0.00 ,$22.33 ,Enterprise,0
Swann Digital Video Recorder,80094,POLICE STATE FELONY FORFEITURE,1/16/2014,55,$1.26 ,0.23,$12.65 ,$12.65 ,Successful,1/21/2014,,PSFF-34-085,,,3604520449,"$3,000 ",$0.00 ,$42.35 ,Enterprise,0
2005 Chevrolet Tahoe,80095,OFM-FIRE,1/16/2014,2525,$0.00 ,0.23,$580.75 ,$580.75 ,Successful,1/23/2014,80003497,,09A 3493,,Cashiers Check,"$3,000 ",$0.00 ,"$1,944.25 ",Enterprise,0
2006 Chevrolet Impala,80096,OFM-POLICE,1/16/2014,2831,$0.00 ,0.23,$651.13 ,$651.13 ,Successful,1/16/2014,80004054,,1215 JF,,Cashiers Check,"$3,000 ",$0.00 ,"$2,179.87 ",Enterprise,0
2011 Chevrolet Impala,80097,OFM-POLICE,1/16/2014,645,$14.84 ,0.23,$148.35 ,$148.35 ,Successful,1/16/2014,80016100,,8096 AJ,,3604201494,"$3,000 ",$0.00 ,$496.65 ,Enterprise,0
2001 Chevrolet Malibu,80098,OFM-CODES,1/16/2014,1607.47,$36.97 ,0.23,$369.71 ,$369.71 ,Successful,1/16/2014,221641,,P 2687 AJ,,3604177890,"$3,000 ",$0.00 ,"$1,237.75 ",Enterprise,0
2003 Ford F-450,80099,OFM-WATER SERVICES,1/16/2014,6350,$0.00 ,0.23,"$1,460.50 ","$1,460.50 ",Successful,1/21/2014,80000566,,31C 040,,Cashiers Check,"$3,000 ",$0.00 ,"$4,889.50 ",Enterprise,0
2004 Chevrolet Tahoe,80100,OFM-POLICE,1/16/2014,5076,$0.00 ,0.23,"$1,167.48 ","$1,167.48 ",Successful,1/28/2014,80000953,,09A 3442,,Cashiers Check,"$3,000 ",$0.00 ,"$3,908.52 ",Enterprise,0
2008 Chevrolet Impala,80101,OFM-POLICE,1/16/2014,831,$19.11 ,0.23,$191.13 ,$191.13 ,Successful,1/16/2014,80002258,,1406 JG,,3604201977,"$3,000 ",$0.00 ,$639.87 ,Enterprise,0
2005 Chevrolet 2500,80102,OFM-WATER SERVICES,1/16/2014,3926,$0.00 ,0.23,$902.98 ,$902.98 ,Successful,1/27/2014,80002869,,31B 5283,,Cashiers Check,"$3,000 ",$0.00 ,"$3,023.02 ",Enterprise,0
